2025/10/09 06:50:01.242484 [INFO] Log Publish not set, skipping...
2025/10/09 07:10:01.470945 [INFO] Log Publish not set, skipping...
2025/10/09 07:30:01.501820 [INFO] Log Publish not set, skipping...
2025/10/09 07:50:01.538747 [INFO] Log Publish not set, skipping...
2025/10/09 08:10:02.046164 [INFO] Log Publish not set, skipping...
2025/10/09 08:30:01.065382 [INFO] Log Publish not set, skipping...
2025/10/09 08:50:01.083648 [INFO] Log Publish not set, skipping...
2025/10/09 09:10:01.292478 [INFO] Log Publish not set, skipping...
2025/10/09 09:30:01.323020 [INFO] Log Publish not set, skipping...
2025/10/09 09:50:01.376360 [INFO] Log Publish not set, skipping...
2025/10/09 10:10:01.654089 [INFO] Log Publish not set, skipping...
2025/10/09 10:30:01.689230 [INFO] Log Publish not set, skipping...
2025/10/09 10:50:01.745879 [INFO] Log Publish not set, skipping...
2025/10/09 11:10:01.951416 [INFO] Log Publish not set, skipping...
2025/10/09 11:30:02.007087 [INFO] Log Publish not set, skipping...
2025/10/09 11:50:01.033692 [INFO] Log Publish not set, skipping...
2025/10/09 12:10:01.160830 [INFO] Log Publish not set, skipping...
2025/10/09 12:30:01.192283 [INFO] Log Publish not set, skipping...
2025/10/09 12:50:01.210872 [INFO] Log Publish not set, skipping...
2025/10/09 13:10:01.617505 [INFO] Log Publish not set, skipping...
2025/10/09 13:30:01.672510 [INFO] Log Publish not set, skipping...
2025/10/09 13:50:01.716453 [INFO] Log Publish not set, skipping...
2025/10/09 14:10:01.096546 [INFO] Log Publish not set, skipping...
2025/10/09 14:30:01.117993 [INFO] Log Publish not set, skipping...
2025/10/09 14:50:01.146565 [INFO] Log Publish not set, skipping...
2025/10/09 15:10:01.404070 [INFO] Log Publish not set, skipping...
2025/10/09 15:30:01.445128 [INFO] Log Publish not set, skipping...
2025/10/09 15:50:01.477930 [INFO] Log Publish not set, skipping...
2025/10/09 16:10:01.829476 [INFO] Log Publish not set, skipping...
2025/10/09 16:30:01.881802 [INFO] Log Publish not set, skipping...
2025/10/09 16:50:01.965156 [INFO] Log Publish not set, skipping...
2025/10/09 17:10:01.468090 [INFO] Log Publish not set, skipping...
2025/10/09 17:30:01.503955 [INFO] Log Publish not set, skipping...
2025/10/09 17:50:01.561098 [INFO] Log Publish not set, skipping...
2025/10/09 18:10:01.954440 [INFO] Log Publish not set, skipping...
2025/10/09 18:30:01.996154 [INFO] Log Publish not set, skipping...
2025/10/09 18:50:01.020132 [INFO] Log Publish not set, skipping...
2025/10/09 19:10:01.174952 [INFO] Log Publish not set, skipping...
2025/10/09 19:30:01.209287 [INFO] Log Publish not set, skipping...
2025/10/09 19:50:01.274489 [INFO] Log Publish not set, skipping...
2025/10/09 20:10:01.556249 [INFO] Log Publish not set, skipping...
2025/10/09 20:30:01.600596 [INFO] Log Publish not set, skipping...
2025/10/09 20:50:01.641383 [INFO] Log Publish not set, skipping...
2025/10/09 21:10:01.126309 [INFO] Log Publish not set, skipping...
2025/10/09 21:30:01.148350 [INFO] Log Publish not set, skipping...
2025/10/09 21:50:01.170938 [INFO] Log Publish not set, skipping...
2025/10/09 22:10:01.432113 [INFO] Log Publish not set, skipping...
2025/10/09 22:30:01.461496 [INFO] Log Publish not set, skipping...
2025/10/09 22:50:01.507824 [INFO] Log Publish not set, skipping...
2025/10/09 23:10:01.838821 [INFO] Log Publish not set, skipping...
2025/10/09 23:30:01.889182 [INFO] Log Publish not set, skipping...
2025/10/09 23:50:02.019997 [INFO] Log Publish not set, skipping...
2025/10/10 00:10:01.173710 [INFO] Log Publish not set, skipping...
2025/10/10 00:30:01.201025 [INFO] Log Publish not set, skipping...
2025/10/10 00:50:01.244489 [INFO] Log Publish not set, skipping...
2025/10/10 01:10:01.591149 [INFO] Log Publish not set, skipping...
2025/10/10 01:30:01.626577 [INFO] Log Publish not set, skipping...
2025/10/10 01:50:01.760579 [INFO] Log Publish not set, skipping...
2025/10/10 02:10:01.085830 [INFO] Log Publish not set, skipping...
2025/10/10 02:30:01.118165 [INFO] Log Publish not set, skipping...
2025/10/10 02:50:01.142776 [INFO] Log Publish not set, skipping...
2025/10/10 03:10:01.425974 [INFO] Log Publish not set, skipping...
2025/10/10 03:30:01.461575 [INFO] Log Publish not set, skipping...
2025/10/10 03:50:01.485853 [INFO] Log Publish not set, skipping...
2025/10/10 04:10:01.764930 [INFO] Log Publish not set, skipping...
2025/10/10 04:30:01.805121 [INFO] Log Publish not set, skipping...
2025/10/10 04:50:01.843932 [INFO] Log Publish not set, skipping...
2025/10/10 05:10:01.218501 [INFO] Log Publish not set, skipping...
2025/10/10 05:30:01.252039 [INFO] Log Publish not set, skipping...
2025/10/10 05:50:01.292342 [INFO] Log Publish not set, skipping...
2025/10/10 06:10:01.578624 [INFO] Log Publish not set, skipping...
2025/10/10 06:30:01.678855 [INFO] Log Publish not set, skipping...
2025/10/10 06:50:01.774555 [INFO] Log Publish not set, skipping...
2025/10/10 07:10:01.173925 [INFO] Log Publish not set, skipping...
2025/10/10 07:30:01.218701 [INFO] Log Publish not set, skipping...
2025/10/10 07:50:01.253196 [INFO] Log Publish not set, skipping...
2025/10/10 08:10:01.567430 [INFO] Log Publish not set, skipping...
2025/10/10 08:30:01.633008 [INFO] Log Publish not set, skipping...
2025/10/10 08:50:01.716826 [INFO] Log Publish not set, skipping...
2025/10/10 09:10:01.215775 [INFO] Log Publish not set, skipping...
2025/10/10 09:30:01.261946 [INFO] Log Publish not set, skipping...
2025/10/10 09:50:01.293041 [INFO] Log Publish not set, skipping...
2025/10/10 10:10:01.830690 [INFO] Log Publish not set, skipping...
2025/10/10 10:30:01.883234 [INFO] Log Publish not set, skipping...
2025/10/10 10:50:01.924461 [INFO] Log Publish not set, skipping...
2025/10/10 11:10:01.259791 [INFO] Log Publish not set, skipping...
2025/10/10 11:30:01.290050 [INFO] Log Publish not set, skipping...
2025/10/10 11:50:01.321951 [INFO] Log Publish not set, skipping...
2025/10/10 12:10:01.756305 [INFO] Log Publish not set, skipping...
2025/10/10 12:30:01.807996 [INFO] Log Publish not set, skipping...
2025/10/10 12:50:01.861710 [INFO] Log Publish not set, skipping...
2025/10/10 13:10:01.210404 [INFO] Log Publish not set, skipping...
2025/10/10 13:30:01.262627 [INFO] Log Publish not set, skipping...
2025/10/10 13:50:01.287463 [INFO] Log Publish not set, skipping...
2025/10/10 14:10:01.682359 [INFO] Log Publish not set, skipping...
2025/10/10 14:30:01.757184 [INFO] Log Publish not set, skipping...
2025/10/10 14:50:01.841663 [INFO] Log Publish not set, skipping...
2025/10/10 15:10:01.147452 [INFO] Log Publish not set, skipping...
2025/10/10 15:30:01.238615 [INFO] Log Publish not set, skipping...
2025/10/10 15:50:01.315176 [INFO] Log Publish not set, skipping...
2025/10/10 16:10:01.631140 [INFO] Log Publish not set, skipping...
2025/10/10 16:30:01.677632 [INFO] Log Publish not set, skipping...
2025/10/10 16:50:01.726081 [INFO] Log Publish not set, skipping...
2025/10/10 17:10:01.383327 [INFO] Log Publish not set, skipping...
2025/10/10 17:30:01.422362 [INFO] Log Publish not set, skipping...
2025/10/10 17:50:01.450973 [INFO] Log Publish not set, skipping...
2025/10/10 18:10:01.846714 [INFO] Log Publish not set, skipping...
2025/10/10 18:30:01.904672 [INFO] Log Publish not set, skipping...
2025/10/10 18:50:01.939270 [INFO] Log Publish not set, skipping...
2025/10/10 19:10:01.257011 [INFO] Log Publish not set, skipping...
2025/10/10 19:30:01.284388 [INFO] Log Publish not set, skipping...
2025/10/10 19:50:01.337422 [INFO] Log Publish not set, skipping...
2025/10/10 20:10:01.741268 [INFO] Log Publish not set, skipping...
2025/10/10 20:30:01.773019 [INFO] Log Publish not set, skipping...
2025/10/10 20:50:01.819573 [INFO] Log Publish not set, skipping...
2025/10/10 21:10:01.235040 [INFO] Log Publish not set, skipping...
2025/10/10 21:30:01.259617 [INFO] Log Publish not set, skipping...
2025/10/10 21:50:01.290380 [INFO] Log Publish not set, skipping...
2025/10/10 22:10:01.655862 [INFO] Log Publish not set, skipping...
2025/10/10 22:30:01.700962 [INFO] Log Publish not set, skipping...
2025/10/10 22:50:01.747366 [INFO] Log Publish not set, skipping...
2025/10/10 23:10:02.043222 [INFO] Log Publish not set, skipping...
2025/10/10 23:30:01.057753 [INFO] Log Publish not set, skipping...
2025/10/10 23:50:01.073082 [INFO] Log Publish not set, skipping...
2025/10/11 00:10:01.255129 [INFO] Log Publish not set, skipping...
2025/10/11 00:30:01.284587 [INFO] Log Publish not set, skipping...
2025/10/11 00:50:01.312404 [INFO] Log Publish not set, skipping...
2025/10/11 01:10:01.721682 [INFO] Log Publish not set, skipping...
2025/10/11 01:30:01.795337 [INFO] Log Publish not set, skipping...
2025/10/11 01:50:01.844389 [INFO] Log Publish not set, skipping...
2025/10/11 02:10:01.358340 [INFO] Log Publish not set, skipping...
2025/10/11 02:30:01.388471 [INFO] Log Publish not set, skipping...
2025/10/11 02:50:01.433403 [INFO] Log Publish not set, skipping...
2025/10/11 03:10:01.896125 [INFO] Log Publish not set, skipping...
2025/10/11 03:30:01.970244 [INFO] Log Publish not set, skipping...
2025/10/11 03:50:02.028900 [INFO] Log Publish not set, skipping...
2025/10/11 04:10:01.193712 [INFO] Log Publish not set, skipping...
2025/10/11 04:30:01.220087 [INFO] Log Publish not set, skipping...
2025/10/11 04:50:01.252829 [INFO] Log Publish not set, skipping...
2025/10/11 05:10:01.651327 [INFO] Log Publish not set, skipping...
2025/10/11 05:30:01.686001 [INFO] Log Publish not set, skipping...
2025/10/11 05:50:01.724601 [INFO] Log Publish not set, skipping...
2025/10/11 06:10:01.079671 [INFO] Log Publish not set, skipping...
2025/10/11 06:30:01.098764 [INFO] Log Publish not set, skipping...
2025/10/11 06:50:01.117011 [INFO] Log Publish not set, skipping...
2025/10/11 07:10:01.460321 [INFO] Log Publish not set, skipping...
2025/10/11 07:30:01.530044 [INFO] Log Publish not set, skipping...
2025/10/11 07:50:01.581439 [INFO] Log Publish not set, skipping...
2025/10/11 08:10:01.911004 [INFO] Log Publish not set, skipping...
2025/10/11 08:30:02.008701 [INFO] Log Publish not set, skipping...
2025/10/11 08:50:01.033998 [INFO] Log Publish not set, skipping...
2025/10/11 09:10:01.235021 [INFO] Log Publish not set, skipping...
2025/10/11 09:30:01.264014 [INFO] Log Publish not set, skipping...
2025/10/11 09:50:01.307812 [INFO] Log Publish not set, skipping...
2025/10/11 10:10:01.724551 [INFO] Log Publish not set, skipping...
2025/10/11 10:30:01.844322 [INFO] Log Publish not set, skipping...
2025/10/11 10:50:01.904516 [INFO] Log Publish not set, skipping...
2025/10/11 11:10:01.322496 [INFO] Log Publish not set, skipping...
2025/10/11 11:30:01.389935 [INFO] Log Publish not set, skipping...
2025/10/11 11:50:01.430582 [INFO] Log Publish not set, skipping...
2025/10/11 12:10:01.660998 [INFO] Log Publish not set, skipping...
2025/10/11 12:30:01.737631 [INFO] Log Publish not set, skipping...
2025/10/11 12:50:01.779975 [INFO] Log Publish not set, skipping...
2025/10/11 13:10:01.071704 [INFO] Log Publish not set, skipping...
2025/10/11 13:30:01.100714 [INFO] Log Publish not set, skipping...
2025/10/11 13:50:01.132768 [INFO] Log Publish not set, skipping...
2025/10/11 14:10:01.356453 [INFO] Log Publish not set, skipping...
2025/10/11 14:30:01.386490 [INFO] Log Publish not set, skipping...
2025/10/11 14:50:01.445881 [INFO] Log Publish not set, skipping...
2025/10/11 15:10:01.776713 [INFO] Log Publish not set, skipping...
2025/10/11 15:30:01.853569 [INFO] Log Publish not set, skipping...
2025/10/11 15:50:01.901221 [INFO] Log Publish not set, skipping...
2025/10/11 16:10:01.363924 [INFO] Log Publish not set, skipping...
2025/10/11 16:30:01.391981 [INFO] Log Publish not set, skipping...
2025/10/11 16:50:01.421438 [INFO] Log Publish not set, skipping...
2025/10/11 17:10:01.751031 [INFO] Log Publish not set, skipping...
2025/10/11 17:30:01.806282 [INFO] Log Publish not set, skipping...
2025/10/11 17:50:01.869577 [INFO] Log Publish not set, skipping...
2025/10/11 18:10:01.317312 [INFO] Log Publish not set, skipping...
2025/10/11 18:30:01.345504 [INFO] Log Publish not set, skipping...
2025/10/11 18:50:01.369979 [INFO] Log Publish not set, skipping...
2025/10/11 19:10:01.748443 [INFO] Log Publish not set, skipping...
2025/10/11 19:30:01.791399 [INFO] Log Publish not set, skipping...
2025/10/11 19:50:01.853052 [INFO] Log Publish not set, skipping...
2025/10/11 20:10:01.277411 [INFO] Log Publish not set, skipping...
2025/10/11 20:30:01.328716 [INFO] Log Publish not set, skipping...
2025/10/11 20:50:01.376517 [INFO] Log Publish not set, skipping...
2025/10/11 21:10:01.621698 [INFO] Log Publish not set, skipping...
2025/10/11 21:30:01.687596 [INFO] Log Publish not set, skipping...
2025/10/11 21:50:01.751290 [INFO] Log Publish not set, skipping...
2025/10/11 22:10:01.109843 [INFO] Log Publish not set, skipping...
2025/10/11 22:30:01.169067 [INFO] Log Publish not set, skipping...
2025/10/11 22:50:01.200257 [INFO] Log Publish not set, skipping...
2025/10/11 23:10:01.593174 [INFO] Log Publish not set, skipping...
2025/10/11 23:30:01.635703 [INFO] Log Publish not set, skipping...
2025/10/11 23:50:01.676047 [INFO] Log Publish not set, skipping...
2025/10/12 00:10:01.095833 [INFO] Log Publish not set, skipping...
2025/10/12 00:30:01.132269 [INFO] Log Publish not set, skipping...
2025/10/12 00:50:01.151808 [INFO] Log Publish not set, skipping...
2025/10/12 01:10:01.433341 [INFO] Log Publish not set, skipping...
2025/10/12 01:30:01.527095 [INFO] Log Publish not set, skipping...
2025/10/12 01:50:01.576204 [INFO] Log Publish not set, skipping...
2025/10/12 02:10:01.026848 [INFO] Log Publish not set, skipping...
2025/10/12 02:30:01.041788 [INFO] Log Publish not set, skipping...
2025/10/12 02:50:01.057969 [INFO] Log Publish not set, skipping...
2025/10/12 03:10:01.349298 [INFO] Log Publish not set, skipping...
2025/10/12 03:30:01.385460 [INFO] Log Publish not set, skipping...
2025/10/12 03:50:01.435840 [INFO] Log Publish not set, skipping...
2025/10/12 04:10:01.831133 [INFO] Log Publish not set, skipping...
2025/10/12 04:30:01.902134 [INFO] Log Publish not set, skipping...
2025/10/12 04:50:02.017132 [INFO] Log Publish not set, skipping...
2025/10/12 05:10:01.142528 [INFO] Log Publish not set, skipping...
2025/10/12 05:30:01.195573 [INFO] Log Publish not set, skipping...
2025/10/12 05:50:01.231083 [INFO] Log Publish not set, skipping...
2025/10/12 06:10:01.827593 [INFO] Log Publish not set, skipping...
2025/10/12 06:30:01.874521 [INFO] Log Publish not set, skipping...
2025/10/12 06:50:01.904140 [INFO] Log Publish not set, skipping...
2025/10/12 07:10:01.213923 [INFO] Log Publish not set, skipping...
2025/10/12 07:30:01.243874 [INFO] Log Publish not set, skipping...
2025/10/12 07:50:01.271646 [INFO] Log Publish not set, skipping...
2025/10/12 08:10:01.555541 [INFO] Log Publish not set, skipping...
2025/10/12 08:30:01.597750 [INFO] Log Publish not set, skipping...
2025/10/12 08:50:01.689343 [INFO] Log Publish not set, skipping...
2025/10/12 09:10:01.146048 [INFO] Log Publish not set, skipping...
2025/10/12 09:30:01.201308 [INFO] Log Publish not set, skipping...
2025/10/12 09:50:01.232229 [INFO] Log Publish not set, skipping...
2025/10/12 10:10:01.457430 [INFO] Log Publish not set, skipping...
2025/10/12 10:30:01.517058 [INFO] Log Publish not set, skipping...
2025/10/12 10:50:01.578249 [INFO] Log Publish not set, skipping...
2025/10/12 11:10:01.201552 [INFO] Log Publish not set, skipping...
2025/10/12 11:30:01.269307 [INFO] Log Publish not set, skipping...
2025/10/12 11:50:01.307825 [INFO] Log Publish not set, skipping...
2025/10/12 12:10:01.746586 [INFO] Log Publish not set, skipping...
2025/10/12 12:30:01.807970 [INFO] Log Publish not set, skipping...
2025/10/12 12:50:01.867219 [INFO] Log Publish not set, skipping...
2025/10/12 13:10:01.276727 [INFO] Log Publish not set, skipping...
2025/10/12 13:30:01.304145 [INFO] Log Publish not set, skipping...
2025/10/12 13:50:01.347677 [INFO] Log Publish not set, skipping...
2025/10/12 14:10:01.773302 [INFO] Log Publish not set, skipping...
2025/10/12 14:30:01.818140 [INFO] Log Publish not set, skipping...
2025/10/12 14:50:01.887460 [INFO] Log Publish not set, skipping...
2025/10/12 15:10:01.444578 [INFO] Log Publish not set, skipping...
2025/10/12 15:30:01.518467 [INFO] Log Publish not set, skipping...
2025/10/12 15:50:01.579489 [INFO] Log Publish not set, skipping...
2025/10/12 16:10:01.855925 [INFO] Log Publish not set, skipping...
2025/10/12 16:30:01.934706 [INFO] Log Publish not set, skipping...
2025/10/12 16:50:01.976193 [INFO] Log Publish not set, skipping...
2025/10/12 17:10:01.356296 [INFO] Log Publish not set, skipping...
2025/10/12 17:30:01.421309 [INFO] Log Publish not set, skipping...
2025/10/12 17:50:01.475058 [INFO] Log Publish not set, skipping...
2025/10/12 18:10:01.803674 [INFO] Log Publish not set, skipping...
2025/10/12 18:30:01.859084 [INFO] Log Publish not set, skipping...
2025/10/12 18:50:01.905905 [INFO] Log Publish not set, skipping...
2025/10/12 19:10:01.227970 [INFO] Log Publish not set, skipping...
2025/10/12 19:30:01.286690 [INFO] Log Publish not set, skipping...
2025/10/12 19:50:01.377683 [INFO] Log Publish not set, skipping...
2025/10/12 20:10:01.665167 [INFO] Log Publish not set, skipping...
2025/10/12 20:30:01.700816 [INFO] Log Publish not set, skipping...
2025/10/12 20:50:01.755764 [INFO] Log Publish not set, skipping...
2025/10/12 21:10:02.056814 [INFO] Log Publish not set, skipping...
2025/10/12 21:30:01.072248 [INFO] Log Publish not set, skipping...
2025/10/12 21:50:01.087825 [INFO] Log Publish not set, skipping...
2025/10/12 22:10:01.229147 [INFO] Log Publish not set, skipping...
2025/10/12 22:30:01.267934 [INFO] Log Publish not set, skipping...
2025/10/12 22:50:01.291388 [INFO] Log Publish not set, skipping...
2025/10/12 23:10:01.644588 [INFO] Log Publish not set, skipping...
2025/10/12 23:30:01.696786 [INFO] Log Publish not set, skipping...
